Statistic,Annual,Local Government Districts,Components of Change,UNIT,VALUE
components-of-population-change-local-government-districts,2010-2011,belfast,united-kingdom-inflows,count,2463
components-of-population-change-local-government-districts,2010-2011,belfast,united-kingdom-outflows,count,2462
components-of-population-change-local-government-districts,2010-2011,belfast,united-kingdom-net,count,1
components-of-population-change-local-government-districts,2010-2011,belfast,rest-of-world-inflows,count,4082
components-of-population-change-local-government-districts,2010-2011,belfast,rest-of-world-outflows,count,5428
components-of-population-change-local-government-districts,2010-2011,belfast,rest-of-world-net,count,-1346
components-of-population-change-local-government-districts,2010-2011,belfast,total-inflows,count,16429
components-of-population-change-local-government-districts,2010-2011,belfast,total-outflows,count,18713
components-of-population-change-local-government-districts,2010-2011,belfast,total-net,count,-2284
components-of-population-change-local-government-districts,2010-2011,belfast,other-changes,count,866
components-of-population-change-local-government-districts,2010-2011,belfast,migration-and-other-changes,count,-1418
components-of-population-change-local-government-districts,2010-2011,belfast,end-population,count,333895
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,starting-population,count,140107
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,births,count,1788
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,deaths,count,1131
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,natural-change,count,657
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,internal-inflows,count,3128
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,internal-outflows,count,3034
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,internal-net,count,94
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,united-kingdom-inflows,count,836
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,united-kingdom-outflows,count,878
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,united-kingdom-net,count,-42
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,rest-of-world-inflows,count,738
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,rest-of-world-outflows,count,805
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,rest-of-world-net,count,-67
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,total-inflows,count,4702
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,total-outflows,count,4717
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,total-net,count,-15
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,other-changes,count,158
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,migration-and-other-changes,count,143
components-of-population-change-local-government-districts,2010-2011,causeway-coast-and-glens,end-population,count,140907
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,starting-population,count,148148
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,births,count,2195
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,deaths,count,997
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,natural-change,count,1198
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,internal-inflows,count,1743
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,internal-outflows,count,1886
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,internal-net,count,-143
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,united-kingdom-inflows,count,786
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,united-kingdom-outflows,count,1006
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,united-kingdom-net,count,-220
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,rest-of-world-inflows,count,672
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,rest-of-world-outflows,count,1134
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,rest-of-world-net,count,-462
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,total-inflows,count,3201
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,total-outflows,count,4026
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,total-net,count,-825
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,other-changes,count,-330
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,migration-and-other-changes,count,-1155
components-of-population-change-local-government-districts,2010-2011,derry-city-and-strabane,end-population,count,148191
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,starting-population,count,112919
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,births,count,1560
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,deaths,count,812
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,natural-change,count,748
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,internal-inflows,count,1724
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,internal-outflows,count,1718
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,internal-net,count,6
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,united-kingdom-inflows,count,723
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,united-kingdom-outflows,count,809
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,united-kingdom-net,count,-86
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,rest-of-world-inflows,count,738
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,rest-of-world-outflows,count,603
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,rest-of-world-net,count,135
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,total-inflows,count,3185
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,total-outflows,count,3130
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,total-net,count,55
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,other-changes,count,-221
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,migration-and-other-changes,count,-166
components-of-population-change-local-government-districts,2010-2011,fermanagh-and-omagh,end-population,count,113501
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,starting-population,count,133909
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,births,count,1844
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,deaths,count,1029
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,natural-change,count,815
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,internal-inflows,count,4193
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,internal-outflows,count,3531
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,internal-net,count,662
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,united-kingdom-inflows,count,876
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,united-kingdom-outflows,count,910
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,united-kingdom-net,count,-34
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,rest-of-world-inflows,count,647
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,rest-of-world-outflows,count,703
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,rest-of-world-net,count,-56
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,total-inflows,count,5716
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,total-outflows,count,5144
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,total-net,count,572
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,other-changes,count,-16
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,migration-and-other-changes,count,556
components-of-population-change-local-government-districts,2010-2011,lisburn-and-castlereagh,end-population,count,135280
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,starting-population,count,135157
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,births,count,1637
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,deaths,count,1136
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,natural-change,count,501
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,internal-inflows,count,2239
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,internal-outflows,count,2415
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,internal-net,count,-176
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,united-kingdom-inflows,count,606
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,united-kingdom-outflows,count,758
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,united-kingdom-net,count,-152
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,rest-of-world-inflows,count,709
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,rest-of-world-outflows,count,621
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,rest-of-world-net,count,88
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,total-inflows,count,3554
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,total-outflows,count,3794
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,total-net,count,-240
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,other-changes,count,-53
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,migration-and-other-changes,count,-293
components-of-population-change-local-government-districts,2010-2011,mid-and-east-antrim,end-population,count,135365
components-of-population-change-local-government-districts,2010-2011,mid-ulster,starting-population,count,137221
components-of-population-change-local-government-districts,2010-2011,mid-ulster,births,count,2163
components-of-population-change-local-government-districts,2010-2011,mid-ulster,deaths,count,956
components-of-population-change-local-government-districts,2010-2011,mid-ulster,natural-change,count,1207
components-of-population-change-local-government-districts,2010-2011,mid-ulster,internal-inflows,count,2372
components-of-population-change-local-government-districts,2010-2011,mid-ulster,internal-outflows,count,2308
components-of-population-change-local-government-districts,2010-2011,mid-ulster,internal-net,count,64
components-of-population-change-local-government-districts,2010-2011,mid-ulster,united-kingdom-inflows,count,500
components-of-population-change-local-government-districts,2010-2011,mid-ulster,united-kingdom-outflows,count,509
components-of-population-change-local-government-districts,2010-2011,mid-ulster,united-kingdom-net,count,-9
components-of-population-change-local-government-districts,2010-2011,mid-ulster,rest-of-world-inflows,count,1597
components-of-population-change-local-government-districts,2010-2011,mid-ulster,rest-of-world-outflows,count,1151
components-of-population-change-local-government-districts,2010-2011,mid-ulster,rest-of-world-net,count,446
components-of-population-change-local-government-districts,2010-2011,mid-ulster,total-inflows,count,4469
components-of-population-change-local-government-districts,2010-2011,mid-ulster,total-outflows,count,3968
components-of-population-change-local-government-districts,2010-2011,mid-ulster,total-net,count,501
components-of-population-change-local-government-districts,2010-2011,mid-ulster,other-changes,count,82
components-of-population-change-local-government-districts,2010-2011,mid-ulster,migration-and-other-changes,count,583
components-of-population-change-local-government-districts,2010-2011,mid-ulster,end-population,count,139011
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,starting-population,count,171119
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,births,count,2555
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,deaths,count,1179
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,natural-change,count,1376
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,internal-inflows,count,2497
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,internal-outflows,count,2737
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,internal-net,count,-240
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,united-kingdom-inflows,count,923
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,united-kingdom-outflows,count,916
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,united-kingdom-net,count,7
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,rest-of-world-inflows,count,1154
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,rest-of-world-outflows,count,853
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,rest-of-world-net,count,301
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,total-inflows,count,4574
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,total-outflows,count,4506
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,total-net,count,68
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,other-changes,count,-287
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,migration-and-other-changes,count,-219
components-of-population-change-local-government-districts,2010-2011,newry-mourne-and-down,end-population,count,172276
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,starting-population,count,156518
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,births,count,1835
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,deaths,count,1409
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,natural-change,count,426
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,internal-inflows,count,2416
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,internal-outflows,count,2183
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,internal-net,count,233
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,united-kingdom-inflows,count,1161
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,united-kingdom-outflows,count,1112
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,united-kingdom-net,count,49
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,rest-of-world-inflows,count,556
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,rest-of-world-outflows,count,680
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,rest-of-world-net,count,-124
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,total-inflows,count,4133
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,total-outflows,count,3975
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,total-net,count,158
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,other-changes,count,-159
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,migration-and-other-changes,count,-1
components-of-population-change-local-government-districts,2010-2011,ards-and-north-down,end-population,count,156943
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,starting-population,count,138651
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,births,count,1884
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,deaths,count,1042
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,natural-change,count,842
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,internal-inflows,count,4186
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,internal-outflows,count,4202
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,internal-net,count,-16
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,united-kingdom-inflows,count,659
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,united-kingdom-outflows,count,797
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,united-kingdom-net,count,-138
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,rest-of-world-inflows,count,742
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,rest-of-world-outflows,count,822
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,rest-of-world-net,count,-80
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,total-inflows,count,5587
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,total-outflows,count,5821
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,total-net,count,-234
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,other-changes,count,-102
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,migration-and-other-changes,count,-336
components-of-population-change-local-government-districts,2011-2012,antrim-and-newtownabbey,end-population,count,139157
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,starting-population,count,200298
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,births,count,3083
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,deaths,count,1410
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,natural-change,count,1673
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,internal-inflows,count,3424
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,internal-outflows,count,3550
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,internal-net,count,-126
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,united-kingdom-inflows,count,970
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,united-kingdom-outflows,count,1108
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,united-kingdom-net,count,-138
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,rest-of-world-inflows,count,1635
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,rest-of-world-outflows,count,945
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,rest-of-world-net,count,690
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,total-inflows,count,6029
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,total-outflows,count,5603
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,total-net,count,426
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,other-changes,count,1
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,migration-and-other-changes,count,427
components-of-population-change-local-government-districts,2011-2012,armagh-city-banbridge-and-craigavon,end-population,count,202398
components-of-population-change-local-government-districts,2011-2012,belfast,starting-population,count,333895
components-of-population-change-local-government-districts,2011-2012,belfast,births,count,4983
components-of-population-change-local-government-districts,2011-2012,belfast,deaths,count,3124
components-of-population-change-local-government-districts,2011-2012,belfast,natural-change,count,1859
components-of-population-change-local-government-districts,2011-2012,belfast,internal-inflows,count,11140
components-of-population-change-local-government-districts,2011-2012,belfast,internal-outflows,count,12263
components-of-population-change-local-government-districts,2011-2012,belfast,internal-net,count,-1123
components-of-population-change-local-government-districts,2011-2012,belfast,united-kingdom-inflows,count,2383
components-of-population-change-local-government-districts,2011-2012,belfast,united-kingdom-outflows,count,2601
components-of-population-change-local-government-districts,2011-2012,belfast,united-kingdom-net,count,-218
components-of-population-change-local-government-districts,2011-2012,belfast,rest-of-world-inflows,count,4107
components-of-population-change-local-government-districts,2011-2012,belfast,rest-of-world-outflows,count,4606
components-of-population-change-local-government-districts,2011-2012,belfast,rest-of-world-net,count,-499
components-of-population-change-local-government-districts,2011-2012,belfast,total-inflows,count,17630
components-of-population-change-local-government-districts,2011-2012,belfast,total-outflows,count,19470
components-of-population-change-local-government-districts,2011-2012,belfast,total-net,count,-1840
components-of-population-change-local-government-districts,2011-2012,belfast,other-changes,count,48
components-of-population-change-local-government-districts,2011-2012,belfast,migration-and-other-changes,count,-1792
components-of-population-change-local-government-districts,2011-2012,belfast,end-population,count,333962
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,starting-population,count,140907
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,births,count,1724
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,deaths,count,1061
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,natural-change,count,663
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,internal-inflows,count,3191
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,internal-outflows,count,3203
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,internal-net,count,-12
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,united-kingdom-inflows,count,774
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,united-kingdom-outflows,count,827
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,united-kingdom-net,count,-53
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,rest-of-world-inflows,count,682
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,rest-of-world-outflows,count,753
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,rest-of-world-net,count,-71
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,total-inflows,count,4647
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,total-outflows,count,4783
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,total-net,count,-136
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,other-changes,count,0
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,migration-and-other-changes,count,-136
components-of-population-change-local-government-districts,2011-2012,causeway-coast-and-glens,end-population,count,141434
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,starting-population,count,148191
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,births,count,2190
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,deaths,count,1084
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,natural-change,count,1106
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,internal-inflows,count,1967
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,internal-outflows,count,2079
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,internal-net,count,-112
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,united-kingdom-inflows,count,825
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,united-kingdom-outflows,count,1080
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,united-kingdom-net,count,-255
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,rest-of-world-inflows,count,737
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,rest-of-world-outflows,count,1048
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,rest-of-world-net,count,-311
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,total-inflows,count,3529
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,total-outflows,count,4207
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,total-net,count,-678
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,other-changes,count,0
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,migration-and-other-changes,count,-678
components-of-population-change-local-government-districts,2011-2012,derry-city-and-strabane,end-population,count,148619
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,starting-population,count,113501
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,births,count,1552
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,deaths,count,792
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,natural-change,count,760
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,internal-inflows,count,1934
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,internal-outflows,count,1827
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,internal-net,count,107
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,united-kingdom-inflows,count,689
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,united-kingdom-outflows,count,760
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,united-kingdom-net,count,-71
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,rest-of-world-inflows,count,734
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,rest-of-world-outflows,count,802
components-of-population-change-local-government-districts,2011-2012,fermanagh-and-omagh,rest-of-world-net,count,-68
